		Document: 7261			with 31202 symbols, 3842 words and 9355 tokens processed in 20.06353187561035 sec
		Document: 7260			with 24336 symbols, 3262 words and 7383 tokens processed in 11.28282880783081 sec
		Document: 7259			with 22026 symbols, 3040 words and 7019 tokens processed in 9.865840673446655 sec
		Document: 7258			with 26894 symbols, 3283 words and 7655 tokens processed in 9.842276811599731 sec
		Document: 7257			with 34744 symbols, 5091 words and 11297 tokens processed in 16.577778577804565 sec
		Document: 7256			with 30282 symbols, 3788 words and 8786 tokens processed in 10.914969682693481 sec
		Document: 7255			with 41770 symbols, 5642 words and 12484 tokens processed in 19.94548225402832 sec
		Document: 7254			with 9564 symbols, 1252 words and 2886 tokens processed in 3.7644338607788086 sec
		Document: 7253			with 25909 symbols, 3567 words and 7837 tokens processed in 10.680622816085815 sec
		Document: 7252			with 21929 symbols, 2741 words and 5993 tokens processed in 6.102913856506348 sec
		Document: 7251			with 23671 symbols, 3159 words and 7002 tokens processed in 8.396881580352783 sec
		Document: 7250			with 22781 symbols, 3101 words and 6774 tokens processed in 12.89472222328186 sec
		Document: 7249			with 26719 symbols, 3620 words and 8212 tokens processed in 13.639342784881592 sec
		Document: 7248			with 34049 symbols, 4644 words and 10471 tokens processed in 17.79200792312622 sec
		Document: 7247			with 30935 symbols, 4052 words and 9305 tokens processed in 14.020207405090332 sec
		Document: 7246			with 16457 symbols, 2033 words and 4744 tokens processed in 8.79508113861084 sec
		Document: 7245			with 27463 symbols, 3730 words and 8144 tokens processed in 13.786731243133545 sec
		Document: 7244			with 38941 symbols, 4667 words and 10920 tokens processed in 19.227190017700195 sec
		Document: 7243			with 26793 symbols, 3367 words and 7002 tokens processed in 6.216617107391357 sec
		Document: 7242			with 14555 symbols, 1767 words and 3998 tokens processed in 7.187232255935669 sec
		Document: 7241			with 22752 symbols, 3138 words and 7108 tokens processed in 12.503655910491943 sec
		Document: 7240			with 33659 symbols, 4856 words and 10941 tokens processed in 18.142603397369385 sec
		Document: 7239			with 13980 symbols, 1892 words and 4110 tokens processed in 7.27791166305542 sec
		Document: 7238			with 23381 symbols, 3137 words and 7070 tokens processed in 9.298990726470947 sec
		Document: 7237			with 28193 symbols, 3381 words and 7576 tokens processed in 11.305215120315552 sec
		Document: 7236			with 22187 symbols, 2955 words and 6941 tokens processed in 8.526293992996216 sec
		Document: 7235			with 25867 symbols, 3199 words and 7362 tokens processed in 12.183685541152954 sec
		Document: 7234			with 31714 symbols, 4289 words and 9414 tokens processed in 12.577000856399536 sec
		Document: 7233			with 27047 symbols, 3351 words and 7376 tokens processed in 12.404609203338623 sec
		Document: 7232			with 30962 symbols, 4150 words and 9256 tokens processed in 17.825111150741577 sec
		Document: 7231			with 22605 symbols, 3095 words and 7000 tokens processed in 8.346344470977783 sec
		Document: 7230			with 35297 symbols, 4855 words and 10720 tokens processed in 19.267005443572998 sec
		Document: 7229			with 35906 symbols, 4824 words and 11058 tokens processed in 21.671361923217773 sec
		Document: 7228			with 34745 symbols, 4267 words and 10055 tokens processed in 16.78499174118042 sec
		Document: 7227			with 29855 symbols, 4027 words and 9128 tokens processed in 14.902554035186768 sec
		Document: 7226			with 31347 symbols, 3723 words and 9014 tokens processed in 14.726381301879883 sec
		Document: 7225			with 29339 symbols, 3735 words and 8616 tokens processed in 14.889108896255493 sec
		Document: 7224			with 24401 symbols, 3138 words and 7101 tokens processed in 12.717464447021484 sec
		Document: 7223			with 18007 symbols, 2489 words and 5479 tokens processed in 9.786064624786377 sec
		Document: 7222			with 14333 symbols, 1917 words and 4078 tokens processed in 7.2881128787994385 sec
		Document: 7221			with 20459 symbols, 2654 words and 6021 tokens processed in 10.344549655914307 sec
		Document: 7220			with 28439 symbols, 3727 words and 8304 tokens processed in 10.616617202758789 sec
		Document: 7219			with 22669 symbols, 2949 words and 6671 tokens processed in 10.16794729232788 sec
		Document: 7218			with 24447 symbols, 3349 words and 7568 tokens processed in 6.1536314487457275 sec
		Document: 7217			with 25027 symbols, 3022 words and 6854 tokens processed in 11.562092542648315 sec
		Document: 7216			with 28351 symbols, 4027 words and 8210 tokens processed in 12.419448375701904 sec
		Document: 7215			with 36687 symbols, 4578 words and 9962 tokens processed in 13.509302139282227 sec
		Document: 7214			with 20604 symbols, 2463 words and 5634 tokens processed in 8.53760051727295 sec
		Document: 7213			with 22787 symbols, 3232 words and 7115 tokens processed in 11.850523948669434 sec
		Document: 7212			with 22643 symbols, 3171 words and 7144 tokens processed in 10.524862051010132 sec
		Document: 7211			with 27865 symbols, 3767 words and 8364 tokens processed in 12.349477291107178 sec
		Document: 7210			with 28563 symbols, 3965 words and 8669 tokens processed in 11.185485601425171 sec
		Document: 7209			with 22460 symbols, 2748 words and 6247 tokens processed in 8.930442810058594 sec
		Document: 7208			with 13727 symbols, 1757 words and 3985 tokens processed in 7.225957155227661 sec
		Document: 7207			with 22396 symbols, 2766 words and 6206 tokens processed in 12.036981582641602 sec
		Document: 7206			with 27089 symbols, 3378 words and 8037 tokens processed in 13.722694396972656 sec
		Document: 7205			with 20360 symbols, 2576 words and 6163 tokens processed in 10.953806161880493 sec
		Document: 7204			with 32666 symbols, 4186 words and 9680 tokens processed in 16.819261074066162 sec
		Document: 7203			with 13734 symbols, 1706 words and 4731 tokens processed in 6.36983323097229 sec
		Document: 7202			with 35486 symbols, 4828 words and 11767 tokens processed in 22.834421634674072 sec
		Document: 7201			with 25370 symbols, 3160 words and 6973 tokens processed in 11.070059299468994 sec
		Document: 7200			with 19430 symbols, 2478 words and 5233 tokens processed in 9.496593713760376 sec
		Document: 7199			with 16084 symbols, 2011 words and 4523 tokens processed in 8.46188473701477 sec
		Document: 7198			with 24536 symbols, 3063 words and 6555 tokens processed in 12.333322525024414 sec
		Document: 7197			with 15851 symbols, 1721 words and 3817 tokens processed in 6.453754186630249 sec
		Document: 7196			with 20489 symbols, 2617 words and 5465 tokens processed in 8.839279413223267 sec
		Document: 7195			with 36247 symbols, 4193 words and 9431 tokens processed in 16.659430503845215 sec
		Document: 7194			with 31962 symbols, 3880 words and 8502 tokens processed in 12.95053243637085 sec
		Document: 7193			with 17760 symbols, 2059 words and 4401 tokens processed in 7.816772699356079 sec
		Document: 7192			with 23687 symbols, 2867 words and 6366 tokens processed in 12.446544885635376 sec
		Document: 7191			with 16095 symbols, 2016 words and 4411 tokens processed in 8.905658960342407 sec
		Document: 7190			with 19760 symbols, 2341 words and 5209 tokens processed in 9.58427619934082 sec
		Document: 7189			with 15800 symbols, 1870 words and 4078 tokens processed in 7.0030903816223145 sec
		Document: 7188			with 21096 symbols, 2593 words and 5642 tokens processed in 8.449463605880737 sec
